ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
218096_at	AGPAT5	 	 	1.278	3.49E-02	1.287	1.95E-02
224776_at	AGPAT6	 	 	1.323	2.92E-02	 	 
209173_at	AGR2	 	 	-1.295	1.52E-02	-1.37	2.32E-03
228969_at	AGR2	 	 	 	 	-1.405	1.90E-02
228241_at	AGR3	 	 	2.572	7.45E-03	 	 
207294_at	AGTR2	-1.193	1.76E-02	 	 	 	 
225059_at	AGTRAP	 	 	1.272	2.63E-02	1.275	3.34E-02
1555736_a_at	AGTRAP	 	 	 	 	1.233	2.82E-02
226115_at	AHCTF1	1.451	1.56E-02	 	 	 	 
1560224_at	AHCTF1	 	 	1.991	1.76E-02	 	 
214766_s_at	AHCTF1	 	 	1.404	1.53E-02	 	 
200903_s_at	AHCY	1.079	2.67E-02	 	 	 	 
200848_at	AHCYL1	-1.24	2.75E-02	 	 	-1.512	1.20E-02
212814_at	AHCYL2	 	 	 	 	-1.303	3.89E-02
229379_at	AHDC1	 	 	 	 	-1.249	4.08E-02
220841_s_at	AHI1	1.222	4.91E-02	 	 	 	 
232461_at	AHI1	-1.297	1.53E-02	 	 	 	 
244699_at	AHI1	-1.223	5.97E-03	1.325	5.90E-03	 	 
221569_at	AHI1	 	 	 	 	1.431	2.88E-02
211986_at	AHNAK	-1.196	1.11E-02	 	 	 	 
229354_at	AHRR	-2.625	7.24E-03	-2.178	7.27E-04	-3.626	8.13E-03
201491_at	AHSA1	1.286	1.10E-03	1.461	1.15E-02	1.527	4.85E-05
226334_s_at	AHSA2	-1.288	2.43E-02	 	 	 	 
226801_s_at	AIDA	 	 	1.236	2.20E-02	1.322	4.03E-02
223075_s_at	AIF1L	 	 	 	 	-1.502	1.06E-03
205512_s_at	AIFM1	-1.062	1.34E-03	 	 	 	 
223136_at	AIG1	 	 	 	 	-1.557	3.89E-02
230520_at	AIG1	 	 	 	 	1.41	2.05E-02
202542_s_at	AIMP1	1.182	2.80E-02	 	 	1.29	1.39E-02
202541_at	AIMP1	 	 	1.251	9.79E-04	1.297	9.82E-04
227605_at	AIMP1	 	 	1.405	2.04E-02	1.963	2.48E-03
202138_x_at	AIMP2	1.28	2.17E-02	1.543	2.24E-04	1.562	6.91E-03
209971_x_at	AIMP2	1.335	3.70E-03	1.367	8.73E-03	1.631	2.12E-03
235731_at	AIPL1	1.441	3.21E-02	 	 	 	 
1553764_a_at	AJUBA	-1.172	2.84E-02	 	 	 	 
225806_at	AJUBA	 	 	 	 	-1.256	2.37E-02
208967_s_at	AK2	1.241	4.14E-02	1.198	2.44E-02	1.32	2.39E-02
212173_at	AK2	1.368	2.21E-02	1.504	1.92E-02	 	 
212175_s_at	AK2	1.254	1.78E-02	 	 	1.417	1.04E-02
212172_at	AK2	 	 	1.196	2.34E-02	 	 
224151_s_at	AK3	 	 	 	 	-1.292	3.60E-02
241326_at	AK7	 	 	1.453	4.28E-02	 	 
230976_at	AK8	 	 	 	 	1.202	3.31E-02
210625_s_at	AKAP1	 	 	1.262	4.96E-03	 	 
213396_s_at	AKAP10	-1.203	4.28E-02	 	 	 	 
205045_at	AKAP10	 	 	1.211	2.06E-02	 	 
222024_s_at	AKAP13	-1.302	2.98E-02	 	 	 	 
227039_at	AKAP13	-1.263	2.10E-02	 	 	-1.528	2.79E-02
210269_s_at	AKAP17A	 	 	1.423	3.98E-02	 	 
207344_at	AKAP3	 	 	-1.449	7.92E-03	 	 
203847_s_at	AKAP8	 	 	1.335	3.38E-02	1.308	3.45E-02
203848_at	AKAP8	 	 	1.17	1.38E-02	 	 
215741_x_at	AKAP8L	 	 	1.447	3.79E-02	1.205	4.60E-02
222458_s_at	AKIRIN1	1.109	6.58E-03	1.279	1.25E-02	1.196	4.26E-02
217893_s_at	AKIRIN1	 	 	 	 	1.303	5.83E-03
213810_s_at	AKIRIN2	-1.247	1.46E-02	 	 	 	 
204151_x_at	AKR1C1/AKR1C2	-1.161	2.86E-02	-1.241	3.38E-02	 	 
209699_x_at	AKR1C1/AKR1C2	-1.154	2.72E-02	 	 	 	 
216594_x_at	AKR1C1/AKR1C2	-1.253	6.27E-03	 	 	 	 
1555856_s_at	AKR1C1/AKR1C2	 	 	1.461	2.49E-02	 	 
211653_x_at	AKR1C1/AKR1C2	 	 	-1.208	4.67E-02	 	 
209160_at	AKR1C3	 	 	-3.078	4.29E-04	-3.719	2.65E-03
207163_s_at	AKT1	 	 	 	 	1.198	1.13E-02
224982_at	AKT1S1	1.154	2.86E-02	 	 	 	 
226156_at	AKT2	 	 	 	 	1.231	4.29E-02
224229_s_at	AKT3	1.37	4.58E-02	 	 	 	 
218373_at	AKTIP	-1.304	6.33E-03	-1.306	8.53E-03	-1.583	6.91E-04
223894_s_at	AKTIP	-1.349	2.37E-02	-1.259	7.30E-05	-1.485	7.39E-03
237787_at	AL157902.3	 	 	-1.562	8.79E-03	 	 
218487_at	ALAD	-1.8	3.67E-02	-1.844	1.02E-02	-2.076	1.71E-05
218489_s_at	ALAD	-1.402	2.14E-02	-1.539	1.81E-03	-1.704	1.72E-02
205633_s_at	ALAS1	 	 	 	 	-1.087	3.47E-02
1569362_at	ALCAM	-1.561	2.79E-02	 	 	-1.839	1.52E-02
201952_at	ALCAM	-1.186	2.40E-02	-1.566	4.45E-03	-1.5	1.57E-02
201951_at	ALCAM	 	 	-1.18	3.70E-02	-1.813	8.04E-04
227592_at	ALDH16A1	1.245	4.47E-02	 	 	 	 
217791_s_at	ALDH18A1	 	 	 	 	1.171	1.02E-03
209645_s_at	ALDH1B1	 	 	1.402	3.39E-03	1.344	3.25E-02
203722_at	ALDH4A1	-1.296	5.63E-03	-1.517	1.03E-03	-1.632	3.67E-03
204290_s_at	ALDH6A1	-1.139	8.13E-03	 	 	-1.529	9.51E-06
221589_s_at	ALDH6A1	-1.168	2.85E-03	-1.877	5.69E-04	-2.253	7.06E-04
221588_x_at	ALDH6A1	 	 	-1.306	4.11E-02	-1.279	2.09E-02
221590_s_at	ALDH6A1	 	 	-1.575	1.92E-02	-2.405	3.83E-03
208950_s_at	ALDH7A1	 	 	-1.292	1.77E-02	 	 
208951_at	ALDH7A1	 	 	 	 	-1.331	5.56E-03
238996_x_at	ALDOA	 	 	-1.34	1.16E-02	 	 
214687_x_at	ALDOA	 	 	 	 	1.044	1.46E-02
204704_s_at	ALDOB	1.183	4.98E-02	 	 	 	 
211357_s_at	ALDOB	 	 	 	 	1.473	1.12E-02
202022_at	ALDOC	1.13	3.42E-02	 	 	1.611	3.37E-04
